OTU_ID	Domain	D_Score	Phylum	P_Score	Class	C_Score	Subclass	SC_Score	Order	O_Score	Suborder	SO_Score	Family	F_Score	Genus	G_Score
BOTU_10203	Bacteria	1.0	Bacteroidetes	1.0	Cytophagia	0.99	NA	NA	Cytophagales	0.99	NA	NA	NA	NA	Ohtaekwangia	0.94
BOTU_10204	Bacteria	1.0	Proteobacteria	0.86	Deltaproteobacteria	0.14	NA	NA	Desulfobacterales	0.08	NA	NA	Desulfobulbaceae	0.08	Desulfurivibrio	0.08
BOTU_10205	Bacteria	0.97	Chloroflexi	0.81	Anaerolineae	0.66	NA	NA	Anaerolineales	0.66	NA	NA	Anaerolineaceae	0.66	Longilinea	0.24
BOTU_10206	Bacteria	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Actinobacteridae	1.0	Actinomycetales	1.0	Catenulisporineae	0.95	Actinospicaceae	0.95	Actinospica	0.95
BOTU_10207	Bacteria	1.0	Firmicutes	0.18	Clostridia	0.16	NA	NA	Clostridiales	0.15	NA	NA	Ruminococcaceae	0.14	Ercella	0.1
BOTU_10208	Bacteria	1.0	Chloroflexi	0.67	Caldilineae	0.26	NA	NA	Caldilineales	0.26	NA	NA	Caldilineaceae	0.26	Litorilinea	0.21
BOTU_10209	Bacteria	1.0	Firmicutes	1.0	Bacilli	1.0	NA	NA	Bacillales	0.99	NA	NA	Paenibacillaceae 1	0.92	Paenibacillus	0.78
BOTU_10210	Bacteria	1.0	Proteobacteria	0.94	Gammaproteobacteria	0.94	NA	NA	Methylococcales	0.56	NA	NA	Methylococcaceae	0.56	Methylococcus	0.56
BOTU_10211	Bacteria	0.96	Cyanobacteria/Chloroplast	0.81	Chloroplast	0.78	NA	NA	NA	NA	NA	NA	Chloroplast	0.78	Bacillariophyta	0.42
BOTU_10212	Bacteria	0.99	Proteobacteria	0.3	Gammaproteobacteria	0.25	NA	NA	Xanthomonadales	0.19	NA	NA	Xanthomonadaceae	0.15	Oleiagrimonas	0.12
BOTU_10213	Bacteria	1.0	Bacteroidetes	1.0	Sphingobacteriia	0.98	NA	NA	Sphingobacteriales	0.98	NA	NA	Saprospiraceae	0.95	Haliscomenobacter	0.62
BOTU_10214	Bacteria	1.0	Planctomycetes	0.55	Planctomycetia	0.54	NA	NA	Candidatus Brocadiales	0.38	NA	NA	Candidatus Brocadiaceae	0.38	Candidatus Brocadia	0.31
BOTU_10215	Bacteria	1.0	Planctomycetes	1.0	Planctomycetia	1.0	NA	NA	Planctomycetales	1.0	NA	NA	Planctomycetaceae	1.0	Singulisphaera	0.6
BOTU_10216	Bacteria	1.0	Proteobacteria	1.0	Alphaproteobacteria	1.0	NA	NA	Rhizobiales	0.83	NA	NA	Hyphomicrobiaceae	0.46	Pedomicrobium	0.25
BOTU_10217	Bacteria	1.0	Parcubacteria	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Parcubacteria_genera_incertae_sedis	0.99
