SampleID,collectionDate,leadContact,siteID,plotType,fertStatus,plotRep,pseudo_no,xCord,yCord,Description
MMPRNT1759,7/24/2018,Vander Stel,ESC,G5,FERT,2,1,4.37,3.23,sampleID:  MMPRNT-1759    info: 7242018_ESC_G5_Rep2_FERT_pseudo1
MMPRNT1760,7/24/2018,Vander Stel,ESC,G5,FERT,2,2,8.43,4.32,sampleID:  MMPRNT-1760    info: 7242018_ESC_G5_Rep2_FERT_pseudo2
MMPRNT1761,7/24/2018,Vander Stel,ESC,G5,FERT,2,3,5.61,1.24,sampleID:  MMPRNT-1761    info: 7242018_ESC_G5_Rep2_FERT_pseudo3
MMPRNT1762,7/24/2018,Vander Stel,ESC,G5,UNFERT,2,1,4.33,3.02,sampleID:  MMPRNT-1762    info: 7242018_ESC_G5_Rep2_UNFERT_pseudo1
MMPRNT1763,7/24/2018,Vander Stel,ESC,G5,UNFERT,2,2,5.72,1.93,sampleID:  MMPRNT-1763    info: 7242018_ESC_G5_Rep2_UNFERT_pseudo2
MMPRNT1764,7/24/2018,Vander Stel,ESC,G5,UNFERT,2,3,4.62,4.33,sampleID:  MMPRNT-1764    info: 7242018_ESC_G5_Rep2_UNFERT_pseudo3
MMPRNT1765,7/24/2018,Vander Stel,ESC,G5,FERT,3,1,1.02,5.08,sampleID:  MMPRNT-1765    info: 7242018_ESC_G5_Rep3_FERT_pseudo1
MMPRNT1766,7/24/2018,Vander Stel,ESC,G5,FERT,3,2,8.63,1.32,sampleID:  MMPRNT-1766    info: 7242018_ESC_G5_Rep3_FERT_pseudo2
MMPRNT1767,7/24/2018,Vander Stel,ESC,G5,FERT,3,3,7.6,0.86,sampleID:  MMPRNT-1767    info: 7242018_ESC_G5_Rep3_FERT_pseudo3
MMPRNT1768,7/24/2018,Vander Stel,ESC,G5,UNFERT,3,1,5.59,4.49,sampleID:  MMPRNT-1768    info: 7242018_ESC_G5_Rep3_UNFERT_pseudo1
MMPRNT1769,7/24/2018,Vander Stel,ESC,G5,UNFERT,3,2,6,5.44,sampleID:  MMPRNT-1769    info: 7242018_ESC_G5_Rep3_UNFERT_pseudo2
MMPRNT1770,7/24/2018,Vander Stel,ESC,G5,UNFERT,3,3,7,1.91,sampleID:  MMPRNT-1770    info: 7242018_ESC_G5_Rep3_UNFERT_pseudo3
MMPRNT1771,7/24/2018,Vander Stel,ESC,G5,FERT,4,1,8.04,4.3,sampleID:  MMPRNT-1771    info: 7242018_ESC_G5_Rep4_FERT_pseudo1
MMPRNT1772,7/24/2018,Vander Stel,ESC,G5,FERT,4,2,10,3.46,sampleID:  MMPRNT-1772    info: 7242018_ESC_G5_Rep4_FERT_pseudo2
MMPRNT1773,7/24/2018,Vander Stel,ESC,G5,FERT,4,3,15,1.87,sampleID:  MMPRNT-1773    info: 7242018_ESC_G5_Rep4_FERT_pseudo3
MMPRNT1774,7/24/2018,Vander Stel,ESC,G5,UNFERT,4,1,3.4,2.22,sampleID:  MMPRNT-1774    info: 7242018_ESC_G5_Rep4_UNFERT_pseudo1
MMPRNT1775,7/24/2018,Vander Stel,ESC,G5,UNFERT,4,2,3.72,4.41,sampleID:  MMPRNT-1775    info: 7242018_ESC_G5_Rep4_UNFERT_pseudo2
MMPRNT1776,7/24/2018,Vander Stel,ESC,G5,UNFERT,4,3,5.75,3.63,sampleID:  MMPRNT-1776    info: 7242018_ESC_G5_Rep4_UNFERT_pseudo3
MMPRNTCtrl7BB5,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
